temp,season,holiday,workingday,weather,atemp,humidity,windspeed,rent
10.0,1,0,0,1,14.395,81,0.0,16
9.0,1,0,0,1,13.635,80,0.0,40
9.0,1,0,0,1,13.635,80,0.0,32
10.0,1,0,0,1,14.395,75,0.0,13
10.0,1,0,0,1,14.395,75,0.0,1
10.0,1,0,0,2,12.88,75,6.0032,1
9.0,1,0,0,1,13.635,80,0.0,2
8.0,1,0,0,1,12.88,86,0.0,3
10.0,1,0,0,1,14.395,75,0.0,8
13.0,1,0,0,1,17.425,76,0.0,14
16.0,1,0,0,1,19.695,76,16.9979,36
15.0,1,0,0,1,16.665,81,19.0012,56
17.0,1,0,0,1,21.21,77,19.0012,84
19.0,1,0,0,2,22.725,72,19.9995,94
19.0,1,0,0,2,22.725,72,19.0012,106
18.0,1,0,0,2,21.97,77,19.9995,110
17.0,1,0,0,2,21.21,82,19.9995,93
18.0,1,0,0,2,21.97,82,19.0012,67
17.0,1,0,0,3,21.21,88,16.9979,35
17.0,1,0,0,3,21.21,88,16.9979,37
16.0,1,0,0,2,20.455,87,16.9979,36
16.0,1,0,0,2,20.455,87,12.998,34
16.0,1,0,0,2,20.455,94,15.0013,28
19.0,1,0,0,2,22.725,88,19.9995,39
19.0,1,0,0,2,22.725,88,19.9995,17
18.0,1,0,0,2,21.97,94,16.9979,17
17.0,1,0,0,2,21.21,100,19.0012,9
19.0,1,0,0,2,22.725,94,12.998,6
19.0,1,0,0,2,22.725,94,12.998,3
17.0,1,0,0,3,21.21,77,19.9995,2
16.0,1,0,0,2,20.455,76,12.998,1
16.0,1,0,0,3,20.455,71,15.0013,8
16.0,1,0,0,2,19.695,76,15.0013,20
15.0,1,0,0,2,17.425,81,15.0013,53
15.0,1,0,0,2,16.665,71,16.9979,70
15.0,1,0,0,2,16.665,66,19.9995,93
15.0,1,0,0,2,17.425,66,8.9981,75
15.0,1,0,0,3,17.425,76,12.998,59
14.0,1,0,0,3,16.665,81,11.0014,74
14.0,1,0,0,3,16.665,71,11.0014,76
14.0,1,0,0,1,16.665,57,12.998,65
15.0,1,0,0,2,16.665,46,22.0028,53
13.0,1,0,0,1,14.395,42,30.0026,30
12.0,1,0,0,1,13.635,39,23.9994,22
11.0,1,0,0,1,11.365,44,22.0028,31
10.0,1,0,0,1,10.605,44,19.9995,9
9.0,1,0,0,1,11.365,47,11.0014,8
9.0,1,0,1,1,9.85,44,23.9994,5
8.0,1,0,1,1,8.335,44,27.9993,2
7.0,1,0,1,1,6.82,47,26.0027,1
7.0,1,0,1,1,6.82,47,19.0012,3
6.0,1,0,1,1,5.305,50,26.0027,30
6.0,1,0,1,1,6.82,50,12.998,64
6.0,1,0,1,1,6.06,50,19.0012,154
7.0,1,0,1,1,6.82,43,26.0027,88
7.0,1,0,1,1,8.335,43,16.9979,44
8.0,1,0,1,1,9.09,40,22.0028,51
9.0,1,0,1,1,10.605,35,19.9995,61
10.0,1,0,1,1,10.605,35,19.0012,61
11.0,1,0,1,1,12.12,30,19.0012,77
11.0,1,0,1,1,12.12,30,16.9979,72
11.0,1,0,1,1,12.12,30,16.9979,76
10.0,1,0,1,1,11.365,30,15.0013,157
10.0,1,0,1,1,12.88,32,7.0015,157
8.0,1,0,1,1,12.88,47,0.0,110
8.0,1,0,1,1,11.365,47,7.0015,52
7.0,1,0,1,1,9.85,64,8.9981,52
6.0,1,0,1,1,7.575,69,8.9981,20
7.0,1,0,1,1,10.605,55,7.0015,12
7.0,1,0,1,1,9.09,55,7.0015,5
7.0,1,0,1,1,9.09,59,7.0015,2
6.0,1,0,1,1,7.575,63,8.9981,1
6.0,1,0,1,1,9.09,63,6.0032,2
5.0,1,0,1,1,7.575,68,7.0015,4
5.0,1,0,1,1,7.575,74,7.0015,36
5.0,1,0,1,1,7.575,74,8.9981,94
6.0,1,0,1,1,7.575,69,11.0014,179
7.0,1,0,1,1,7.575,64,15.0013,100
7.0,1,0,1,2,6.82,69,22.0028,42
9.0,1,0,1,1,10.605,51,19.9995,57
9.0,1,0,1,1,11.365,51,11.0014,78
10.0,1,0,1,1,11.365,56,12.998,97
11.0,1,0,1,1,12.88,52,15.0013,63
11.0,1,0,1,1,13.635,52,16.9979,65
12.0,1,0,1,1,14.395,49,16.9979,83
11.0,1,0,1,1,13.635,48,15.0013,212
11.0,1,0,1,1,12.88,48,12.998,182
10.0,1,0,1,1,12.88,48,7.0015,112
10.0,1,0,1,1,12.88,48,7.0015,54
9.0,1,0,1,1,13.635,64,0.0,48
9.0,1,0,1,1,12.88,64,6.0032,35
8.0,1,0,1,1,11.365,69,6.0032,11
8.0,1,0,1,1,12.88,64,0.0,6
7.0,1,0,1,1,9.85,74,6.0032,6
7.0,1,0,1,1,9.85,74,6.0032,2
10.0,1,0,1,1,11.365,48,15.0013,2
9.0,1,0,1,1,11.365,47,11.0014,3
8.0,1,0,1,1,9.85,47,15.0013,33
7.0,1,0,1,1,9.09,43,12.998,88
8.0,1,0,1,1,9.09,40,19.9995,195
9.0,1,0,1,1,9.85,37,22.0028,115
9.0,1,0,1,1,9.85,37,22.0028,57
11.0,1,0,1,1,11.365,33,22.0028,46
11.0,1,0,1,1,11.365,33,22.0028,79
11.0,1,0,1,1,12.88,30,19.9995,71
12.0,1,0,1,1,14.395,28,12.998,62
12.0,1,0,1,1,14.395,28,12.998,62
12.0,1,0,1,1,15.91,28,6.0032,89
10.0,1,0,1,1,11.365,38,12.998,190
10.0,1,0,1,1,12.12,38,8.9981,169
10.0,1,0,1,1,12.88,38,7.0015,132
9.0,1,0,1,1,11.365,47,11.0014,89
8.0,1,0,1,1,9.85,51,12.998,43
7.0,1,0,1,1,9.85,55,8.9981,42
8.0,1,0,1,1,12.88,47,0.0,19
7.0,1,0,1,1,12.12,55,0.0,11
7.0,1,0,1,1,11.365,64,0.0,4
7.0,1,0,1,1,11.365,64,0.0,2
7.0,1,0,1,2,9.85,64,6.0032,1
6.0,1,0,1,2,9.09,69,6.0032,4
6.0,1,0,1,2,8.335,63,7.0015,36
7.0,1,0,1,2,11.365,59,0.0,95
7.0,1,0,1,1,11.365,59,0.0,219
7.0,1,0,1,2,12.12,51,0.0,122
8.0,1,0,1,1,12.88,47,0.0,45
9.0,1,0,1,1,12.88,44,6.0032,59
11.0,1,0,1,1,14.395,35,0.0,84
11.0,1,0,1,1,13.635,35,7.0015,67
11.0,1,0,1,1,13.635,36,11.0014,70
11.0,1,0,1,1,13.635,36,0.0,62
11.0,1,0,1,1,12.88,38,11.0014,86
9.0,1,0,1,1,11.365,51,11.0014,172
9.0,1,0,1,1,11.365,51,8.9981,163
9.0,1,0,1,1,12.88,55,6.0032,112
8.0,1,0,1,1,10.605,51,11.0014,69
9.0,1,0,1,2,10.605,55,15.0013,48
9.0,1,0,1,2,10.605,51,19.0012,52
8.0,1,0,1,2,9.85,59,12.998,23
8.0,1,0,1,2,9.85,64,12.998,17
8.0,1,0,1,2,9.85,69,15.0013,7
8.0,1,0,1,2,9.85,69,15.0013,1
8.0,1,0,1,2,10.605,69,8.9981,1
9.0,1,0,1,3,13.635,55,0.0,5
8.0,1,0,1,2,12.88,69,0.0,34
8.0,1,0,1,1,10.605,69,8.9981,84
8.0,1,0,1,1,9.85,51,16.9979,210
8.0,1,0,1,1,9.09,47,19.9995,134
9.0,1,0,1,1,9.85,37,22.0028,63
8.0,1,0,1,2,9.85,40,15.0013,67
8.0,1,0,1,2,9.85,37,16.9979,59
8.0,1,0,1,2,9.09,37,19.0012,73
8.0,1,0,1,2,9.85,40,16.9979,50
8.0,1,0,1,2,10.605,37,11.0014,72
8.0,1,0,1,2,10.605,37,11.0014,87
8.0,1,0,1,2,12.88,37,0.0,187
8.0,1,0,1,1,11.365,40,6.0032,123
7.0,1,0,1,1,9.85,55,6.0032,95
7.0,1,0,1,1,10.605,47,7.0015,51
7.0,1,0,1,1,9.85,47,8.9981,39
7.0,1,0,1,2,9.85,43,11.0014,36
7.0,1,0,1,2,9.85,51,11.0014,15
7.0,1,0,0,2,9.85,51,11.0014,25
7.0,1,0,0,2,10.605,55,6.0032,16
7.0,1,0,0,2,12.12,55,0.0,16
7.0,1,0,0,3,9.85,55,11.0014,7
7.0,1,0,0,3,9.85,55,11.0014,1
7.0,1,0,0,2,8.335,74,11.0014,5
7.0,1,0,0,2,8.335,74,11.0014,2
7.0,1,0,0,2,9.09,74,7.0015,9
7.0,1,0,0,3,9.09,93,7.0015,15
7.0,1,0,0,3,9.09,93,7.0015,20
7.0,1,0,0,2,9.85,80,11.0014,61
8.0,1,0,0,2,9.09,69,26.0027,62
8.0,1,0,0,2,9.09,59,23.9994,98
8.0,1,0,0,1,9.09,44,22.0028,102
8.0,1,0,0,1,8.335,32,32.9975,95
8.0,1,0,0,1,8.335,32,30.0026,74
7.0,1,0,0,1,6.82,29,30.0026,76
7.0,1,0,0,1,6.06,37,36.9974,69
6.0,1,0,0,1,6.06,39,19.9995,55
6.0,1,0,0,1,6.06,36,16.9979,30
5.0,1,0,0,1,6.06,36,16.9979,28
5.0,1,0,0,1,5.305,39,23.9994,37
5.0,1,0,0,1,5.305,36,26.0027,34
4.0,1,0,0,1,3.03,39,30.0026,22
4.0,1,0,0,1,3.79,42,26.0027,25
4.0,1,0,0,1,3.03,42,31.0009,12
4.0,1,0,0,1,3.03,46,31.0009,11
4.0,1,0,0,1,3.79,46,27.9993,4
3.0,1,0,0,1,4.545,53,12.998,1
3.0,1,0,0,1,4.545,53,12.998,1
4.0,1,0,0,1,4.545,49,19.0012,1
3.0,1,0,0,1,4.545,53,12.998,6
4.0,1,0,0,1,4.545,49,19.0012,10
5.0,1,0,0,1,3.79,46,35.0008,19
6.0,1,0,0,1,5.305,43,26.0027,49
7.0,1,0,0,1,6.06,40,35.0008,49
7.0,1,0,0,1,6.82,37,30.0026,83
8.0,1,0,0,1,8.335,34,30.0026,75
9.0,1,0,0,1,9.09,32,31.0009,72
9.0,1,0,0,1,9.85,35,23.9994,82
8.0,1,0,0,1,8.335,34,30.0026,92
7.0,1,0,0,1,7.575,37,26.0027,62
7.0,1,0,0,1,6.82,40,22.0028,48
7.0,1,0,0,1,6.82,43,22.0028,41
6.0,1,0,0,1,6.06,46,16.9979,38
6.0,1,0,0,1,5.305,46,27.9993,20
6.0,1,0,0,1,6.06,46,19.9995,15
5.0,1,0,0,1,6.82,50,12.998,6
5.0,1,0,1,1,6.06,50,19.0012,5
5.0,1,0,1,1,6.06,50,19.0012,1
5.0,1,0,1,1,6.06,50,15.0013,3
5.0,1,0,1,1,6.06,50,15.0013,1
4.0,1,0,1,1,6.06,54,8.9981,3
4.0,1,0,1,1,5.305,54,16.9979,3
5.0,1,0,1,1,6.06,50,19.0012,31
5.0,1,0,1,1,6.06,50,15.0013,77
5.0,1,0,1,2,6.06,50,19.0012,188
6.0,1,0,1,2,6.06,50,16.9979,94
6.0,1,0,1,2,6.06,50,19.9995,31
7.0,1,0,1,2,6.82,47,19.0012,30
8.0,1,0,1,2,9.09,40,19.0012,52
8.0,1,0,1,2,9.09,40,19.0012,54
8.0,1,0,1,2,9.85,40,15.0013,47
8.0,1,0,1,2,9.85,40,15.0013,45
8.0,1,0,1,1,10.605,40,8.9981,74
8.0,1,0,1,1,11.365,40,7.0015,178
8.0,1,0,1,1,9.85,40,15.0013,155
7.0,1,0,1,1,8.335,47,11.0014,95
7.0,1,0,1,1,8.335,50,11.0014,74
6.0,1,0,1,1,6.82,59,12.998,38
6.0,1,0,1,1,7.575,59,11.0014,24
6.0,1,0,1,1,7.575,59,11.0014,18
6.0,1,0,1,1,8.335,59,7.0015,12
6.0,1,0,1,1,7.575,59,11.0014,3
7.0,1,0,1,2,7.575,55,12.998,3
